"long","lat","2012-01-01","2012-01-09","2012-01-17","2012-01-25","2012-02-02","2012-02-10","2012-02-18","2012-02-26","2012-03-05","2012-03-13","2012-03-21","2012-03-29","2012-04-06","2012-04-14","2012-04-22","2012-04-30","2012-05-08","2012-05-16","2012-05-24","2012-06-01","2012-06-09","2012-06-17","2012-06-25","2012-07-03","2012-07-11","2012-07-19","2012-07-27","2012-08-04","2012-08-12","2012-08-20","2012-08-28","2012-09-05","2012-09-13","2012-09-21","2012-09-29","2012-10-07","2012-10-15","2012-10-23","2012-10-31","2012-11-08","2012-11-16","2012-11-24","2012-12-02","2012-12-10","2012-12-18","2012-12-26"
34.874518504732,-2.56915865279414,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34.8745481143873,-2.58937713647606,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.8746080323951,-2.62981408336337,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34.894391059912,-2.40738260368043,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,NA,NA,NA,NA,NA
34.894419104215,-2.4276009049861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
34.8944473837614,-2.44781919990161,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
34.8944758985688,-2.46803748837384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,0,1,NA,NA,NA,0,0,0,NA,NA,NA
34.8945046486546,-2.48825577034969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.8945336340367,-2.50847404577606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
34.8945628547328,-2.52869231459984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
